Track,Year,Artist,Yearly Rank,Source,Prefix,CH,40,10,PK,Time
A Little Bit Of Soap,1965,Garnet Mimms,670.0,a,1965_670,1.0,0.0,0.0,1.0,2:21
A Little Bit Of Soap,1966,"Exciters, The",438.0,a,1966_438,6.0,0.0,0.0,1.0,2:26
A Little Bit Of Soap,1961,"Jarmels, The",124.0,a,1961_124,10.0,6.0,0.0,1.0,2:17
A Little Bit Of Soap,1970,Paul Davis,318.0,a,1970_318,12.0,0.0,0.0,2.0,2:30
"A Little Bit of Heaven (Shure, They Call it Ireland)",1915,John Barnes Wells,89.0,m,1915_089,2.0,,,,
"A Little Bit of Heaven (Shure, They Call it Ireland)",1915,Charles Harrison,18.0,m,1915_018,6.0,,,,
"A Little Bit of Heaven (Shure, They Call it Ireland)",1915,George MacFarlane,4.0,m,1915_004,15.0,,,,
"A Little Bit of Heaven (Shure, They Call it Ireland)",1916,John McCormack,133.0,m,1916_133,1.0,,,,
A Little Bitty Tear,1962,Wanda Jackson,514.0,a,1962_514,3.0,0.0,0.0,1.0,2:16
A Little Bitty Tear,1962,Burl Ives,94.0,a,1962_094,14.0,11.0,2.0,1.0,2:02
A Little Kiss Each Morning (A Little Kiss Each Night),1930,Rudy Vallee & His Connecticut Yankees,34.0,m,1930_034,7.0,,,,
A Little Kiss Each Morning (A Little Kiss Each Night),1929,Guy Lombardo & His Royal Canadians,126.0,m,1929_126,4.0,,,,
A Little Less Conversation,1968,Elvis Presley,461.0,a,1968_461,4.0,0.0,0.0,2.0,2:00
A Little Less Conversation,2002,Elvis Presley vs JXL,181.0,y,2002_181,9.0,0.0,0.0,1.0,3:30
A Little Love,1990,Corey Hart,205.0,a,1990_205,11.0,2.0,0.0,1.0,4:03
A Little Love,1953,Bob Carroll,376.0,m,1953_376,1.0,,,,
A Little Love,1984,Juice Newton,224.0,a,1984_224,10.0,0.0,0.0,2.0,3:50
A Little Too Much,1962,Clarence Henry,484.0,a,1962_484,5.0,0.0,0.0,1.0,1:44
A Little Too Much,2015,Shawn Mendes,99.0,h,2015-099,1.0,0.0,0.0,1.0,3:07
A Little on the Lonely Side,1945,Phil Moore Four,243.0,h,1945_243,1.0,,,,
A Little on the Lonely Side,1945,Guy Lombardo & His Royal Canadians,54.0,h,1945_054,13.0,,,,2:24
A Little on the Lonely Side,1945,Frankie Carle & His Orchestra,37.0,h,1945_037,14.0,,,,3:03
A Lover's Concerto,1966,Mrs. Miller,678.0,a,1966_678,2.0,0.0,0.0,1.0,2:37
A Lover's Concerto,1965,"Toys, The",26.0,a,1965_026,15.0,11.0,6.0,3.0,2:36
A Lover's Concerto,1966,Sarah Vaughan,473.0,a,1966_473,6.0,0.0,0.0,1.0,2:45
A Lover's Lullaby,1940,Frankie Masters & His Orchestra,315.0,m,1940_321,1.0,,,,
A Lover's Lullaby,1940,Glen Gray & Casa Loma Orchestra,98.0,m,1940_172,9.0,,,,
A Lover's Question,1959,Clyde McPhatter,59.0,a,1959_059,24.0,20.0,7.0,1.0,2:33
A Lover's Question,1961,Ernestine Anderson,664.0,a,1961_664,1.0,0.0,0.0,1.0,2:15
A Lover's Question,1975,Loggins and Messina,478.0,a,1975_478,2.0,0.0,0.0,1.0,3:19
A Lover's Question,1969,Otis Redding,325.0,a,1969_325,6.0,0.0,0.0,2.0,2:37
A Melody from the Sky,1936,Eddy Duchin & His Orchestra,88.0,m,1936_088,5.0,,,,
A Melody from the Sky,1936,Bunny Berigan & His Orchestra,239.0,m,1936_239,3.0,,,,
A Melody from the Sky,1936,Jan Garber & His Orchestra,11.0,m,1936_011,12.0,,,3.0,
A Million And One,1966,Vic Dana,521.0,a,1966_521,3.0,0.0,0.0,1.0,2:25
A Million And One,1966,Dean Martin,335.0,a,1966_335,7.0,0.0,0.0,2.0,2:45
A Million Dreams Ago,1940,Glenn Miller & His Orchestra,299.0,m,1940_305,1.0,,,,
A Million Dreams Ago,1940,Dick Jurgens & His Orchestra,140.0,h,1940_093,6.0,,,,
A Million To One,1969,Brian Hyland,572.0,a,1969_572,5.0,0.0,0.0,2.0,2:37
A Million To One,1968,"Five Stairsteps, The",456.0,a,1968_456,6.0,0.0,0.0,1.0,2:45
A Million To One,1973,Donny Osmond,162.0,a,1973_162,5.0,4.0,0.0,1.0,2:42
A Million To One,1960,Jimmy Charles,45.0,a,1960_045,15.0,11.0,5.0,2.0,2:28
A Night To Remember,1982,Shalamar,240.0,a,1982_240,10.0,0.0,0.0,2.0,4:12
A Night To Remember,1999,Joe Diffie,164.0,a,1999_164,20.0,3.0,0.0,2.0,3:33
A Nightingale Sang in Berkeley Square,1941,Ray Noble & His Orchestra,112.0,h,1941_116,3.0,,,,
A Nightingale Sang in Berkeley Square,1941,Guy Lombardo & His Royal Canadians,41.0,m,1941_201,6.0,,,,
A Nightingale Sang in Berkeley Square,1940,Sammy Kaye & His Orchestra,273.0,h,1940_135,2.0,,,,
A Perfect Day,1911,Cecil Fanning,22.0,m,1911_022,6.0,,,1.0,
A Perfect Day,1915,McKee's Orchestra,46.0,m,1915_046,3.0,,,,
A Perfect Day,1913,Elsie Baker,73.0,m,1913_072,2.0,,,,
A Picture No Artist Can Paint,1899,Steve Porter,10.0,m,1899_010,10.0,,,2.0,
A Picture No Artist Can Paint,1899,George J. Gaskin,23.0,m,1899_023,4.0,,,,
A Place In The Sun,1977,Pablo Cruise,232.0,a,1977_232,9.0,0.0,0.0,1.0,3:40
A Place In The Sun,1966,Stevie Wonder,102.0,a,1966_102,11.0,8.0,3.0,2.0,3:10
A Precious Little Thing Called Love,1929,George Olsen & His Orchestra,10.0,m,1929_010,11.0,,,2.0,
A Precious Little Thing Called Love,1929,Ipana Troubadors,137.0,m,1929_137,4.0,,,,
A Pretty Girl is Like a Melody,1919,Sam Ash,83.0,m,1919_083,2.0,,,,
A Pretty Girl is Like a Melody,1919,John Steel,5.0,m,1919_005,15.0,,,5.0,
A Room with a View,1939,Tommy Dorsey & His Orchestra,202.0,m,1939_202,5.0,,,,
A Room with a View,1929,Ben Selvin & His Orchestra,109.0,m,1929_109,5.0,,,,
A Sailboat in the Moonlight,1937,Billie Holiday,174.0,m,1937_174,3.0,,,,
A Sailboat in the Moonlight,1937,Johnny Hodges & His Orchestra,293.0,m,1937_293,2.0,,,,
A Sailboat in the Moonlight,1937,Guy Lombardo & His Royal Canadians,12.0,m,1937_012,14.0,,,3.0,
"A Smile Will Go a Long, Long Way",1924,Ted Weems & His Orchestra,43.0,m,1924_043,4.0,,,,
"A Smile Will Go a Long, Long Way",1924,Peerless Quartet,169.0,m,1924_169,1.0,,,,
A String of Pearls,1942,Benny Goodman & His Orchestra,124.0,h,1942_123,2.0,,,,
A String of Pearls,1942,Glenn Miller & His Orchestra,14.0,h,1942_007,21.0,,,2.0,
A String of Pearls,1944,Glenn Miller & His Orchestra,227.0,h,1944_227,1.0,,,,
A Sunday Kind Of Love,1972,Lenny Welch,560.0,a,1972_560,5.0,0.0,0.0,2.0,2:51
A Sunday Kind Of Love,1962,Jan & Dean,618.0,a,1962_618,1.0,0.0,0.0,1.0,2:13
A Sunday Kind of Love,1947,Jo Stafford,177.0,h,1947_175,1.0,,,,2:53
A Sunday Kind of Love,1947,Claude Thornhill & His Orchestra,178.0,m,1947_197,6.0,,,,3:20
A Taste Of Honey,1962,Victor Feldman Quartet,547.0,a,1962_547,1.0,0.0,0.0,1.0,3:04
A Taste Of Honey,1964,Tony Bennett,642.0,a,1964_642,3.0,0.0,0.0,2.0,2:53
A Taste Of Honey,1962,Martin Denny,338.0,a,1962_338,15.0,0.0,0.0,1.0,3:08
A Tear Fell,1956,Teresa Brewer,37.0,JB,1956_037,23.0,17.0,11.0,2.0,2:31
A Tear Fell,1964,Ray Charles,369.0,a,1964_369,5.0,0.0,0.0,1.0,2:41
A Thousand Goodnights,1934,Adrian Rollini & The Gang,304.0,m,1934_304,1.0,,,,
A Thousand Goodnights,1934,Don Bestor & His Orchestra,57.0,m,1934_057,7.0,,,,
A Thousand Miles Away,1957,"Heartbeats, The",286.0,Top,1957_286,16.0,0.0,0.0,1.0,2:22
A Thousand Miles Away,1960,"Heartbeats, The",580.0,a,1960_580,1.0,0.0,0.0,1.0,2:22
A Tree in the Meadow,1948,Joe Loss & His Orchestra,135.0,h,1948_135,1.0,,,,3:07
A Tree in the Meadow,1948,Bill Johnson,334.0,h,1948_198,1.0,,,,
A Tree in the Meadow,1948,Sam Browne,210.0,h,1948_178,5.0,,,,
A Tree in the Meadow,1948,Monica Lewis & Ames Brothers,179.0,h,1948_156,3.0,,,,3:11
A Tree in the Meadow,1948,John Laurenz,139.0,h,1948_140,7.0,,,,
A Tree in the Meadow,1948,Paul Fennelly & His Orchestra,192.0,h,1948_158,2.0,,,,3:26
A Tree in the Park,1927,Helen Morgan,107.0,m,1927_107,1.0,,,,
A Tree in the Park,1927,Frank Black & His Orchestra,185.0,m,1927_185,2.0,,,,
A Tune for Humming,1947,Bob Houston,309.0,m,1947_310,1.0,,,,
A Tune for Humming,1947,Eddy Howard & His Orchestra,238.0,m,1947_240,2.0,,,,
A Very Special Love,1958,Debbie Reynolds,168.0,DJ,1958_168,3.0,1.0,0.0,1.0,2:35
A Very Special Love,1958,Johnny Nash,199.0,DJ,1958_199,10.0,1.0,0.0,1.0,2:54
A White Sport Coat (And A Pink Carnation),1957,Marty Robbins,27.0,BS,1957_027,26.0,21.0,10.0,1.0,2:28
A White Sport Coat (And A Pink Carnation),1957,Johnny Desmond,331.0,Top,1957_331,2.0,0.0,0.0,1.0,2:17
A Whiter Shade Of Pale,1968,"Hesitations, The",682.0,a,1968_682,2.0,0.0,0.0,2.0,3:14
